Date,Open,High,Low,Close,Adj Close,Volume
2010-02-19,2.856170,2.865720,2.626910,2.646010,2.185505,100616663
2010-02-22,2.722430,3.114080,2.703330,3.037660,2.508993,85326255
2010-02-23,2.999450,3.056770,2.856170,2.913480,2.406426,44386779
2010-02-24,2.875270,3.056770,2.856170,3.028110,2.501106,54218870
2010-02-25,3.037660,3.056770,2.942140,2.989900,2.469546,23542790
2010-02-26,3.009000,3.352890,3.009000,3.352890,2.769361,77198449
2010-03-01,3.457970,3.601250,3.400650,3.524830,2.911378,44535433
2010-03-02,3.534390,3.859170,3.438860,3.601250,2.974498,68359199
2010-03-03,3.591700,3.696780,3.505730,3.639460,3.006058,28766611
2010-03-04,3.601250,3.754090,3.524830,3.543940,2.927162,25684661
2010-03-05,3.591700,3.878270,3.515280,3.868720,3.195418,38439579
2010-03-08,3.926030,4.155290,3.773200,4.126630,3.408442,38718043
2010-03-09,4.097980,4.269920,4.021560,4.145740,3.424227,27681019
2010-03-10,4.155290,4.164840,3.897380,3.935590,3.250650,29677377
2010-03-11,3.945140,4.012010,3.763640,3.792300,3.132298,27670551
2010-03-12,3.811410,3.973800,3.792300,3.830510,3.163858,20963331
2010-03-15,3.878270,4.126630,3.830510,4.097980,3.384778,31349210
2010-03-16,4.107530,4.164840,3.820960,3.849610,3.179634,29553848
2010-03-17,3.897380,4.002450,3.830510,3.926030,3.242754,17824851
2010-03-18,3.926030,3.973800,3.887820,3.897380,3.219090,7147946
2010-03-19,3.926030,3.973800,3.849610,3.916480,3.234866,10360754
2010-03-22,3.878270,4.088420,3.782750,4.040660,3.337434,19951020
2010-03-23,4.050220,4.289020,3.992900,4.040660,3.337434,43733540
2010-03-24,4.097980,4.117080,3.935590,4.002450,3.305874,18153565
2010-03-25,4.012010,4.097980,3.964240,3.983350,3.290098,6222524
2010-03-26,4.012010,4.136190,3.992900,4.088420,3.376882,12351878
2010-03-29,4.097980,4.136190,3.954690,4.002450,3.305874,10052977
2010-03-30,4.031110,4.050220,3.945140,4.002450,3.305874,6868435
2010-03-31,4.031110,4.164840,3.820960,3.859170,3.187530,38383033
2010-04-01,3.897380,3.983350,3.878270,3.973800,3.282210,9026010
2010-04-07,4.012010,4.078870,3.992900,4.040660,3.337434,12831339
2010-04-08,4.050220,4.212610,4.012010,4.155290,3.432114,18278141
2010-04-09,4.193500,4.546940,4.155290,4.470520,3.692482,31524035
2010-04-12,4.537390,4.699780,4.422760,4.527830,3.739819,27495725
2010-04-13,4.585150,4.585150,4.317680,4.451420,3.676706,20327889
2010-04-14,4.480070,4.518280,4.413210,4.432310,3.660922,5191369
2010-04-15,4.480070,4.843060,4.317680,4.833510,3.992298,30565113
2010-04-16,4.843060,5.186950,4.833510,5.167850,4.268451,43487528
2010-04-19,5.120080,5.272920,4.919480,5.043660,4.165875,22526290
2010-04-20,5.072320,5.760090,5.034110,5.664570,4.678722,35915604
2010-04-21,5.807860,5.826960,5.444860,5.674120,4.686612,17105660
2010-04-22,5.626360,5.903380,5.559490,5.578600,4.607715,11933134
2010-04-23,5.635910,5.693230,5.368450,5.397100,4.457803,21591446
2010-04-26,5.444860,5.588150,5.301580,5.416210,4.473586,8386379
2010-04-27,5.387550,5.750540,5.330240,5.502180,4.544595,22503260
2010-04-28,5.397100,5.674120,5.378000,5.655020,4.670835,11744700
2010-04-29,5.760090,5.798300,5.263370,5.330240,4.402579,14159801
2010-04-30,5.387550,5.463970,5.043660,5.292030,4.371019,18339905
2010-05-03,5.158290,5.511730,5.139190,5.349340,4.418355,9053228
2010-05-04,5.368450,5.425760,5.244260,5.282470,4.363122,4781000
2010-05-05,5.158290,5.244260,4.957690,4.995900,4.126427,12005368
2010-05-06,5.024560,5.072320,4.546940,4.833510,3.992298,15164785
2010-05-07,4.632910,5.015010,4.585150,4.957690,4.094867,14809900
2010-05-10,5.081870,5.234710,5.062770,5.196500,4.292115,7462004
2010-05-11,5.253820,5.253820,4.995900,5.015010,4.142211,5464599
2010-05-12,5.034110,5.120080,4.852620,5.024560,4.150099,6167040
2010-05-13,5.081870,5.177400,5.005450,5.110530,4.221107,6618236
2010-05-14,5.062770,5.311130,5.005450,5.100980,4.213219,11280942
2010-05-17,5.234710,5.100980,4.814410,4.871720,4.023859,6642314
2010-05-18,4.919480,4.929040,4.537390,4.623360,3.818722,12694200
2010-05-19,4.480070,4.537390,4.107530,4.203050,3.471562,9799638
2010-05-20,4.289020,4.375000,3.754090,4.250820,3.511019,17875100
2010-05-24,4.298580,4.403650,4.155290,4.269920,3.526794,7399192
2010-05-25,4.193500,4.193500,3.897380,4.078870,3.368994,7724765
2010-05-26,4.174400,4.317680,3.992900,4.298580,3.550467,8194804
2010-05-27,4.241260,4.776200,4.107530,4.585150,3.787162,20750819
2010-05-28,4.785750,5.053220,4.785750,4.890830,4.039643,23991892
2010-05-31,4.967240,5.215610,4.919480,5.158290,4.260554,13722215
2010-06-01,5.148740,5.588150,5.139190,5.378000,4.442027,17012489
2010-06-02,5.378000,5.463970,4.976800,5.110530,4.221107,17067240
2010-06-03,5.244260,5.282470,5.158290,5.215610,4.307899,5386084
2010-06-04,5.215610,5.225160,5.062770,5.110530,4.221107,5494958
2010-06-07,4.833510,5.005450,4.833510,4.919480,4.063305,6404677
2010-06-08,4.967240,5.043660,4.890830,4.938590,4.079091,4549645
2010-06-09,4.986350,5.015010,4.680670,4.718880,3.897618,8570626
2010-06-10,4.776200,5.005450,4.642460,4.986350,4.118539,5932544
2010-06-11,5.158290,5.339790,5.091430,5.292030,4.371019,9121274
2010-06-14,5.349340,5.559490,5.282470,5.473520,4.520923,16637659
2010-06-15,5.473520,5.530840,5.292030,5.330240,4.402579,5708517
2010-06-17,5.416210,5.559490,5.387550,5.540390,4.576155,7599142
