Date,Open,High,Low,Close,Adj Close,Volume
2019-01-18,1.420000,1.470000,1.330000,1.350000,1.350000,13928000
2019-01-21,1.310000,1.350000,1.200000,1.310000,1.310000,5464000
2019-01-22,1.300000,1.320000,1.250000,1.280000,1.280000,1248000
2019-01-23,1.270000,1.300000,1.250000,1.250000,1.250000,920000
2019-01-24,1.250000,1.280000,1.250000,1.260000,1.260000,2912000
2019-01-25,1.270000,1.500000,1.260000,1.450000,1.450000,14328000
2019-01-28,1.460000,1.480000,1.400000,1.430000,1.430000,11722000
2019-01-29,1.410000,1.450000,1.400000,1.410000,1.410000,6964000
2019-01-30,1.410000,1.570000,1.400000,1.460000,1.460000,13170000
2019-01-31,1.480000,1.540000,1.440000,1.500000,1.500000,11662000
2019-02-01,1.500000,1.560000,1.460000,1.530000,1.530000,4298000
2019-02-04,1.520000,1.680000,1.520000,1.630000,1.630000,1566000
2019-02-08,1.640000,1.640000,1.580000,1.640000,1.640000,986000
2019-02-11,1.630000,1.730000,1.510000,1.720000,1.720000,2256000
2019-02-12,1.750000,1.830000,1.540000,1.570000,1.570000,8596000
2019-02-13,1.570000,1.630000,1.410000,1.440000,1.440000,7054000
2019-02-14,1.430000,1.520000,1.420000,1.440000,1.440000,5982000
2019-02-15,1.450000,1.460000,1.400000,1.400000,1.400000,2388000
2019-02-18,1.430000,1.450000,1.400000,1.420000,1.420000,930000
2019-02-19,1.430000,1.440000,1.390000,1.400000,1.400000,496000
2019-02-20,1.410000,1.440000,1.400000,1.400000,1.400000,1066000
2019-02-21,1.420000,1.420000,1.350000,1.380000,1.380000,1138000
2019-02-22,1.380000,1.380000,1.320000,1.340000,1.340000,696000
2019-02-25,1.370000,1.370000,1.320000,1.350000,1.350000,516000
2019-02-26,1.350000,1.430000,1.340000,1.390000,1.390000,436000
2019-02-27,1.390000,1.430000,1.370000,1.380000,1.380000,750000
2019-02-28,1.410000,1.420000,1.370000,1.400000,1.400000,310000
2019-03-01,1.400000,1.410000,1.370000,1.380000,1.380000,612000
2019-03-04,1.420000,1.420000,1.380000,1.390000,1.390000,426000
2019-03-05,1.400000,1.430000,1.400000,1.430000,1.430000,328000
2019-03-06,1.400000,1.450000,1.400000,1.420000,1.420000,460000
2019-03-07,1.420000,1.420000,1.380000,1.400000,1.400000,362000
2019-03-08,1.370000,1.400000,1.360000,1.380000,1.380000,180000
2019-03-11,1.400000,1.500000,1.400000,1.430000,1.430000,230000
2019-03-12,1.440000,1.440000,1.390000,1.390000,1.390000,764000
2019-03-13,1.420000,1.420000,1.390000,1.400000,1.400000,486000
2019-03-14,1.400000,1.400000,1.390000,1.390000,1.390000,8000
2019-03-15,1.400000,1.460000,1.400000,1.400000,1.400000,394000
2019-03-18,1.370000,1.410000,1.370000,1.370000,1.370000,68000
2019-03-19,1.370000,1.390000,1.370000,1.370000,1.370000,232000
2019-03-20,1.390000,1.390000,1.350000,1.370000,1.370000,1382000
2019-03-21,1.370000,1.370000,1.340000,1.350000,1.350000,1450000
2019-03-22,1.380000,1.380000,1.380000,1.380000,1.380000,0
2019-03-25,1.370000,1.390000,1.350000,1.390000,1.390000,168000
2019-03-26,1.380000,1.380000,1.380000,1.380000,1.380000,0
2019-03-27,1.380000,1.420000,1.380000,1.400000,1.400000,336000
2019-03-28,1.400000,1.470000,1.400000,1.430000,1.430000,998000
2019-03-29,1.440000,1.700000,1.440000,1.650000,1.650000,7073000
2019-04-01,1.650000,2.460000,1.610000,2.450000,2.450000,7422000
2019-04-02,2.450000,2.690000,1.880000,2.200000,2.200000,10040000
2019-04-03,2.210000,2.380000,2.080000,2.220000,2.220000,1070000
2019-04-04,2.250000,2.340000,2.130000,2.240000,2.240000,1726000
2019-04-08,2.230000,2.290000,2.150000,2.200000,2.200000,788000
2019-04-09,2.130000,2.220000,2.130000,2.190000,2.190000,326000
2019-04-10,2.180000,2.280000,2.160000,2.220000,2.220000,510000
2019-04-11,2.180000,2.220000,2.170000,2.190000,2.190000,208000
2019-04-12,2.250000,2.270000,2.110000,2.160000,2.160000,362000
2019-04-15,2.160000,2.160000,1.920000,2.030000,2.030000,1032000
2019-04-16,2.020000,2.180000,2.020000,2.120000,2.120000,730000
2019-04-17,2.100000,2.350000,2.040000,2.130000,2.130000,882000
2019-04-18,2.130000,2.130000,1.960000,2.010000,2.010000,888000
2019-04-23,1.950000,2.300000,1.860000,2.270000,2.270000,978000
2019-04-24,2.270000,2.270000,2.040000,2.160000,2.160000,714000
2019-04-25,2.170000,2.170000,2.000000,2.090000,2.090000,242000
2019-04-26,2.090000,2.120000,2.030000,2.090000,2.090000,300000
2019-04-29,2.060000,2.120000,2.030000,2.100000,2.100000,326000
2019-04-30,2.100000,2.120000,1.960000,2.100000,2.100000,380000
2019-05-02,2.090000,2.090000,2.090000,2.090000,2.090000,0
2019-05-03,2.090000,2.090000,2.030000,2.070000,2.070000,144000
2019-05-06,2.030000,2.070000,2.000000,2.010000,2.010000,50000
2019-05-07,1.960000,2.000000,1.950000,2.000000,2.000000,94000
2019-05-08,1.980000,1.990000,1.950000,1.980000,1.980000,158000
2019-05-09,1.980000,2.030000,1.920000,2.020000,2.020000,528000
2019-05-10,1.960000,2.040000,1.960000,2.020000,2.020000,332000
2019-05-14,2.020000,2.170000,1.930000,2.130000,2.130000,3640000
2019-05-15,2.080000,2.230000,2.000000,2.050000,2.050000,1306000
2019-05-16,2.060000,2.100000,2.000000,2.080000,2.080000,96000
2019-05-17,2.050000,2.080000,2.020000,2.050000,2.050000,132000
2019-05-20,2.040000,2.050000,1.970000,2.020000,2.020000,106000
2019-05-21,2.030000,2.040000,1.950000,2.000000,2.000000,156000
2019-05-22,2.020000,2.020000,1.960000,2.000000,2.000000,50000
2019-05-23,2.000000,2.020000,1.930000,1.980000,1.980000,76000
2019-05-24,1.980000,2.000000,1.950000,1.980000,1.980000,304000
2019-05-27,1.980000,2.020000,1.980000,2.020000,2.020000,184000
2019-05-28,2.020000,2.030000,1.980000,2.020000,2.020000,130000
2019-05-29,2.020000,2.040000,1.980000,2.010000,2.010000,144000
2019-05-30,2.010000,2.020000,1.910000,1.930000,1.930000,302000
