Date,Open,High,Low,Close,Adj Close,Volume
2017-12-22,1.240000,1.440000,1.200000,1.260000,1.260000,102996000
2017-12-27,1.240000,1.360000,1.210000,1.300000,1.300000,10438000
2017-12-28,1.300000,1.300000,1.220000,1.250000,1.250000,4016000
2017-12-29,1.250000,1.420000,1.240000,1.380000,1.380000,12590000
2018-01-02,1.400000,1.520000,1.270000,1.330000,1.330000,7344000
2018-01-03,1.320000,1.330000,1.260000,1.310000,1.310000,2154000
2018-01-04,1.290000,1.340000,1.260000,1.320000,1.320000,2836000
2018-01-05,1.310000,1.340000,1.280000,1.300000,1.300000,1040000
2018-01-08,1.290000,1.300000,1.260000,1.280000,1.280000,2578000
2018-01-09,1.280000,1.340000,1.270000,1.290000,1.290000,1520000
2018-01-10,1.270000,1.280000,1.260000,1.270000,1.270000,570000
2018-01-11,1.270000,1.270000,1.170000,1.180000,1.180000,1360000
2018-01-12,1.170000,1.350000,1.150000,1.280000,1.280000,9302000
2018-01-15,1.280000,1.280000,1.210000,1.250000,1.250000,1522000
2018-01-16,1.220000,1.290000,1.220000,1.260000,1.260000,520000
2018-01-17,1.260000,1.310000,1.220000,1.290000,1.290000,1004000
2018-01-18,1.260000,1.290000,1.230000,1.240000,1.240000,612000
2018-01-19,1.240000,1.240000,1.200000,1.200000,1.200000,1070000
2018-01-22,1.200000,1.250000,1.200000,1.250000,1.250000,814000
2018-01-23,1.220000,1.260000,1.200000,1.230000,1.230000,3196000
2018-01-24,1.220000,1.240000,1.200000,1.210000,1.210000,534000
2018-01-25,1.200000,1.250000,1.200000,1.210000,1.210000,6272000
2018-01-26,1.200000,1.360000,1.200000,1.300000,1.300000,3898000
2018-01-29,1.290000,1.700000,1.280000,1.650000,1.650000,12876000
2018-01-30,1.650000,2.440000,1.650000,2.400000,2.400000,53280000
2018-01-31,2.360000,2.400000,1.730000,1.870000,1.870000,21568000
2018-02-01,1.870000,1.990000,1.800000,1.820000,1.820000,5286000
2018-02-02,1.810000,2.170000,1.800000,2.050000,2.050000,13192000
2018-02-05,1.960000,2.320000,1.850000,2.220000,2.220000,5410000
2018-02-06,2.100000,2.160000,1.860000,1.920000,1.920000,4126000
2018-02-07,2.040000,2.260000,1.930000,1.980000,1.980000,4454000
2018-02-08,2.000000,2.130000,1.960000,1.990000,1.990000,1944000
2018-02-09,1.900000,2.000000,1.820000,1.930000,1.930000,1840000
2018-02-12,2.000000,2.100000,1.900000,2.070000,2.070000,1792000
2018-02-13,2.100000,2.850000,2.090000,2.450000,2.450000,13166000
2018-02-14,2.400000,2.610000,2.350000,2.420000,2.420000,2198000
2018-02-15,2.410000,2.810000,2.410000,2.630000,2.630000,5036000
2018-02-20,2.650000,2.910000,2.650000,2.790000,2.790000,1636100
2018-02-21,2.900000,2.950000,2.670000,2.710000,2.710000,1525700
2018-02-22,2.700000,2.710000,2.510000,2.620000,2.620000,842000
2018-02-23,2.650000,2.780000,2.510000,2.610000,2.610000,676000
2018-02-26,2.720000,2.890000,2.670000,2.680000,2.680000,1212000
2018-02-27,2.800000,2.800000,2.530000,2.730000,2.730000,592000
2018-02-28,2.730000,2.730000,2.650000,2.700000,2.700000,368000
2018-03-01,2.700000,3.080000,2.690000,2.880000,2.880000,2978000
2018-03-02,2.850000,2.960000,2.830000,2.910000,2.910000,314000
2018-03-05,2.930000,3.150000,2.920000,3.030000,3.030000,988000
2018-03-06,3.150000,3.220000,3.100000,3.200000,3.200000,786000
2018-03-07,3.200000,3.480000,3.200000,3.390000,3.390000,1382000
2018-03-08,3.500000,3.530000,3.010000,3.200000,3.200000,2084000
2018-03-09,3.210000,3.290000,2.850000,3.040000,3.040000,2772000
2018-03-12,3.050000,3.180000,2.960000,3.120000,3.120000,768000
2018-03-13,3.130000,3.160000,3.050000,3.090000,3.090000,358000
2018-03-14,3.080000,3.080000,2.860000,2.930000,2.930000,764000
2018-03-15,2.880000,3.090000,2.870000,3.020000,3.020000,244000
2018-03-16,3.020000,3.020000,2.980000,3.020000,3.020000,100000
2018-03-19,3.030000,3.100000,2.960000,2.970000,2.970000,344000
2018-03-20,2.970000,2.970000,2.720000,2.750000,2.750000,700000
2018-03-21,2.730000,2.800000,2.560000,2.570000,2.570000,930000
2018-03-22,2.510000,2.600000,2.480000,2.550000,2.550000,294000
2018-03-23,2.430000,2.550000,2.220000,2.490000,2.490000,1742000
2018-03-26,2.490000,2.580000,2.460000,2.580000,2.580000,878000
2018-03-27,2.580000,2.670000,2.580000,2.630000,2.630000,784000
2018-03-28,2.580000,2.630000,2.530000,2.630000,2.630000,1514000
2018-03-29,2.630000,2.630000,2.550000,2.570000,2.570000,74000
2018-04-03,2.510000,2.630000,2.510000,2.510000,2.510000,146000
2018-04-04,2.510000,2.550000,2.500000,2.420000,2.420000,156000
2018-04-06,2.420000,2.480000,2.420000,2.440000,2.440000,60000
2018-04-09,2.440000,2.440000,2.430000,2.390000,2.390000,8000
2018-04-10,2.400000,2.400000,2.250000,2.250000,2.250000,144000
2018-04-11,2.300000,2.340000,2.300000,2.300000,2.300000,332000
2018-04-12,2.300000,2.300000,2.300000,2.300000,2.300000,0
2018-04-13,2.310000,2.310000,2.300000,2.290000,2.290000,106000
2018-04-16,2.200000,2.290000,2.100000,2.210000,2.210000,2284000
2018-04-17,2.130000,2.380000,2.130000,2.350000,2.350000,1698100
2018-04-18,2.350000,2.790000,2.350000,2.780000,2.780000,2748000
2018-04-19,2.730000,2.750000,2.590000,2.640000,2.640000,3358000
2018-04-20,2.490000,2.710000,2.490000,2.610000,2.610000,3806000
2018-04-23,2.700000,2.860000,2.650000,2.690000,2.690000,3158000
2018-04-24,2.670000,2.790000,2.600000,2.640000,2.640000,1278000
2018-04-25,2.670000,2.670000,2.400000,2.440000,2.440000,406000
2018-04-26,2.430000,2.670000,2.430000,2.660000,2.660000,394000
2018-04-27,2.660000,2.660000,2.500000,2.500000,2.500000,38000
2018-04-30,2.600000,2.600000,2.600000,2.600000,2.600000,28000
2018-05-02,2.640000,2.740000,2.400000,2.650000,2.650000,7900000
2018-05-03,2.640000,2.650000,2.610000,2.640000,2.640000,724000
2018-05-04,2.560000,2.720000,2.560000,2.700000,2.700000,1538000
2018-05-07,2.650000,2.650000,2.600000,2.600000,2.600000,210000
2018-05-08,2.600000,2.730000,2.550000,2.680000,2.680000,896000
2018-05-09,2.680000,2.750000,2.680000,2.750000,2.750000,2050000
2018-05-10,2.950000,2.950000,2.800000,2.800000,2.800000,98000
2018-05-11,2.800000,2.800000,2.710000,2.760000,2.760000,20000
2018-05-14,2.710000,2.910000,2.710000,2.770000,2.770000,230000
2018-05-15,2.850000,2.850000,2.850000,2.840000,2.840000,83700
2018-05-16,2.810000,2.880000,2.760000,2.800000,2.800000,60000
2018-05-17,2.800000,2.890000,2.770000,2.800000,2.800000,120000
2018-05-18,2.800000,2.800000,2.770000,2.790000,2.790000,1788000
2018-05-21,2.830000,2.880000,2.830000,2.860000,2.860000,128000
2018-05-23,2.870000,2.870000,2.760000,2.790000,2.790000,40000
2018-05-24,2.810000,2.810000,2.800000,2.800000,2.800000,34000
2018-05-25,2.890000,2.890000,2.820000,2.820000,2.820000,100000
2018-05-28,2.820000,2.840000,2.800000,2.820000,2.820000,50000
2018-05-29,2.810000,2.810000,2.700000,2.750000,2.750000,166000
2018-05-30,2.710000,2.780000,2.610000,2.750000,2.750000,94000
2018-05-31,2.760000,2.810000,2.650000,2.720000,2.720000,132000
2018-06-01,2.780000,2.850000,2.720000,2.790000,2.790000,1452000
2018-06-04,2.750000,2.820000,2.700000,2.810000,2.810000,104000
2018-06-05,2.780000,2.780000,2.780000,2.760000,2.760000,22000
2018-06-06,2.690000,2.760000,2.510000,2.760000,2.760000,62000
2018-06-07,2.750000,2.900000,2.600000,2.680000,2.680000,368000
2018-06-08,2.670000,2.680000,2.650000,2.680000,2.680000,108000
2018-06-11,2.750000,2.850000,2.740000,2.780000,2.780000,462000
2018-06-12,2.760000,2.870000,2.760000,2.850000,2.850000,230000
2018-06-13,2.900000,2.900000,2.760000,2.860000,2.860000,1250000
2018-06-14,2.800000,2.800000,2.800000,2.780000,2.780000,706000
2018-06-15,2.860000,2.860000,2.830000,2.810000,2.810000,474000
2018-06-19,2.810000,2.810000,2.600000,2.680000,2.680000,152000
2018-06-20,2.770000,2.790000,2.670000,2.720000,2.720000,2538000
2018-06-21,2.720000,2.780000,2.700000,2.780000,2.780000,1946000
2018-06-22,2.800000,2.840000,2.790000,2.790000,2.790000,98000
2018-06-25,2.800000,2.800000,2.710000,2.750000,2.750000,228000
2018-06-26,2.750000,2.770000,2.750000,2.750000,2.750000,160000
2018-06-27,2.740000,2.740000,2.600000,2.600000,2.600000,220000
2018-06-28,2.670000,2.670000,2.670000,2.670000,2.670000,14000
2018-06-29,2.740000,2.750000,2.690000,2.690000,2.690000,194000
2018-07-03,2.640000,2.640000,2.580000,2.580000,2.580000,44000
2018-07-04,2.580000,2.580000,2.450000,2.460000,2.460000,22000
2018-07-05,2.590000,2.600000,2.380000,2.380000,2.380000,32000
2018-07-06,2.380000,2.380000,2.380000,2.380000,2.380000,0
2018-07-09,2.420000,2.430000,2.380000,2.380000,2.380000,56000
2018-07-10,2.290000,2.300000,2.150000,2.210000,2.210000,242000
2018-07-11,2.200000,2.210000,2.200000,2.200000,2.200000,122000
2018-07-12,2.150000,2.160000,2.150000,2.170000,2.170000,32000
2018-07-13,2.160000,2.280000,2.160000,2.270000,2.270000,90000
2018-07-16,2.260000,2.310000,2.260000,2.300000,2.300000,550000
2018-07-17,2.290000,2.290000,2.180000,2.200000,2.200000,56000
2018-07-18,2.190000,2.400000,2.180000,2.260000,2.260000,10704000
2018-07-19,2.310000,2.350000,2.250000,2.350000,2.350000,44000
2018-07-20,2.310000,2.310000,2.220000,2.250000,2.250000,104000
2018-07-23,2.210000,2.490000,2.200000,2.320000,2.320000,2642000
2018-07-24,2.320000,2.320000,2.300000,2.310000,2.310000,78000
2018-07-25,2.350000,2.350000,2.350000,2.350000,2.350000,10000
2018-07-26,2.350000,2.350000,2.350000,2.350000,2.350000,0
2018-07-27,2.350000,2.350000,2.350000,2.350000,2.350000,0
2018-07-30,2.210000,2.330000,2.200000,2.310000,2.310000,164000
2018-07-31,2.200000,2.200000,2.190000,2.200000,2.200000,56000
2018-08-01,2.190000,2.300000,2.120000,2.190000,2.190000,3628000
2018-08-02,2.180000,2.180000,2.120000,2.140000,2.140000,102000
2018-08-03,2.180000,2.180000,2.140000,2.140000,2.140000,26000
2018-08-06,2.140000,2.140000,2.140000,2.140000,2.140000,2000
2018-08-07,2.140000,2.140000,2.120000,2.120000,2.120000,20000
2018-08-08,2.000000,2.200000,2.000000,2.190000,2.190000,18000
2018-08-09,2.050000,2.170000,1.960000,2.150000,2.150000,150000
2018-08-10,2.140000,2.140000,2.140000,2.140000,2.140000,20000
2018-08-13,2.070000,2.070000,2.060000,2.060000,2.060000,4000
2018-08-14,2.000000,2.000000,2.000000,2.000000,2.000000,0
2018-08-15,1.980000,2.020000,1.960000,2.020000,2.020000,224000
2018-08-16,2.020000,2.020000,2.020000,2.020000,2.020000,0
2018-08-17,2.020000,2.020000,2.020000,2.020000,2.020000,0
2018-08-20,2.020000,2.020000,2.020000,2.020000,2.020000,2000
2018-08-21,2.020000,2.020000,2.020000,2.020000,2.020000,0
2018-08-22,2.020000,2.020000,2.020000,2.020000,2.020000,0
2018-08-23,2.020000,2.020000,2.020000,2.020000,2.020000,2000
2018-08-24,2.080000,2.080000,2.080000,2.080000,2.080000,0
2018-08-27,2.080000,2.080000,2.080000,2.080000,2.080000,0
2018-08-28,2.080000,2.200000,2.190000,2.200000,2.200000,2070000
2018-08-29,2.200000,2.390000,2.200000,2.380000,2.380000,6404000
2018-08-30,2.550000,2.550000,2.200000,2.450000,2.450000,3852000
2018-08-31,2.430000,2.430000,2.410000,2.410000,2.410000,26000
2018-09-03,2.400000,2.400000,2.400000,2.400000,2.400000,0
2018-09-04,2.210000,2.390000,2.210000,2.210000,2.210000,4000
2018-09-05,2.210000,2.210000,2.210000,2.210000,2.210000,0
2018-09-06,2.410000,2.410000,2.150000,2.190000,2.190000,30000
2018-09-07,2.200000,2.200000,2.200000,2.200000,2.200000,0
2018-09-10,2.030000,2.200000,2.030000,2.200000,2.200000,1224000
2018-09-11,2.200000,2.200000,2.200000,2.200000,2.200000,0
2018-09-12,2.200000,2.220000,2.200000,2.220000,2.220000,22000
2018-09-13,2.240000,2.240000,2.240000,2.240000,2.240000,18000
2018-09-14,2.100000,2.100000,2.100000,2.100000,2.100000,20000
