Date,Open,High,Low,Close,Adj Close,Volume
2004-06-17,21.729500,21.729500,16.791000,19.754101,19.743231,717826
2004-06-18,19.754101,19.754101,18.173800,19.358999,19.348347,97195
2004-06-21,18.766399,18.766399,17.778700,17.778700,17.768917,87324
2004-06-22,null,null,null,null,null,null
2004-06-23,16.791000,17.976200,16.791000,17.778700,17.768917,59102
2004-06-24,17.186100,17.186100,16.593399,16.593399,16.584269,0
2004-06-25,17.383600,17.581200,17.383600,17.581200,17.571526,10124
2004-06-28,17.778700,17.976200,17.778700,17.976200,17.966309,47079
2004-06-29,17.976200,19.358999,17.976200,19.358999,19.348347,136174
2004-06-30,19.358999,19.556601,18.963900,19.556601,19.545839,337145
2004-07-01,null,null,null,null,null,null
2004-07-02,19.358999,19.358999,18.963900,18.963900,18.953465,7087
2004-07-05,null,null,null,null,null,null
2004-07-06,18.963900,18.963900,17.778700,18.963900,18.953465,27842
2004-07-07,17.778700,18.766399,17.778700,18.568800,18.558582,42902
2004-07-08,18.568800,18.568800,17.581200,17.976200,17.966309,68340
2004-07-09,18.963900,18.963900,17.976200,18.766399,18.756073,45560
2004-07-12,18.766399,19.161501,17.581200,18.173800,18.163799,29614
2004-07-13,18.371300,18.371300,16.791000,18.173800,18.163799,10124
2004-07-14,17.976200,18.766399,17.778700,18.766399,18.756073,40498
2004-07-15,18.568800,18.766399,17.186100,18.766399,18.756073,15187
2004-07-16,18.568800,19.358999,18.568800,19.358999,19.348347,28349
2004-07-19,19.754101,19.754101,18.371300,19.754101,19.743231,31386
2004-07-20,19.754101,20.149200,19.754101,20.149200,20.138113,16705
2004-07-21,19.358999,19.754101,19.358999,19.358999,19.348347,12402
2004-07-22,19.358999,19.754101,19.358999,19.754101,19.743231,10631
2004-07-23,19.358999,19.358999,19.358999,19.358999,19.348347,5062
2004-07-26,19.358999,19.358999,19.161501,19.161501,19.150957,7720
2004-07-27,18.173800,18.766399,18.173800,18.766399,18.756073,38726
2004-07-28,17.778700,18.963900,17.778700,18.963900,18.953465,15313
2004-07-29,18.568800,18.766399,17.778700,18.766399,18.756073,19237
2004-07-30,18.766399,18.963900,18.371300,18.963900,18.953465,23539
2004-08-02,18.766399,18.766399,18.568800,18.568800,18.558582,17465
2004-08-03,19.358999,19.358999,18.173800,18.371300,18.361191,48091
2004-08-04,18.766399,18.766399,18.371300,18.371300,18.361191,18730
2004-08-05,18.568800,18.568800,18.173800,18.568800,18.558582,21008
2004-08-06,18.371300,18.371300,18.371300,18.371300,18.361191,1266
2004-08-09,18.963900,19.161501,18.568800,18.766399,18.756073,19743
