Date,Open,High,Low,Close,Adj Close,Volume
2001-12-12,0.145910,0.145910,0.143010,0.143010,0.072259,683023
2001-12-13,null,null,null,null,null,null
2001-12-14,null,null,null,null,null,null
2001-12-17,null,null,null,null,null,null
2001-12-18,null,null,null,null,null,null
2001-12-19,null,null,null,null,null,null
2001-12-20,null,null,null,null,null,null
2001-12-21,null,null,null,null,null,null
2001-12-24,null,null,null,null,null,null
2001-12-25,null,null,null,null,null,null
2001-12-26,null,null,null,null,null,null
2001-12-27,null,null,null,null,null,null
2001-12-28,null,null,null,null,null,null
2001-12-31,null,null,null,null,null,null
2002-01-01,null,null,null,null,null,null
2002-01-02,null,null,null,null,null,null
2002-01-03,null,null,null,null,null,null
2002-01-04,null,null,null,null,null,null
2002-01-07,null,null,null,null,null,null
2002-01-08,null,null,null,null,null,null
2002-01-09,null,null,null,null,null,null
2002-01-10,null,null,null,null,null,null
2002-01-11,0.115960,0.115960,0.115960,0.115960,0.058592,103488
2002-01-14,0.115960,0.115960,0.115960,0.115960,0.058592,103488
2002-01-15,null,null,null,null,null,null
2002-01-16,0.115960,0.115960,0.115960,0.115960,0.058592,10349
2002-01-17,null,null,null,null,null,null
2002-01-18,null,null,null,null,null,null
2002-01-21,null,null,null,null,null,null
2002-01-22,0.111120,0.111120,0.111120,0.111120,0.056146,517442
2002-01-23,null,null,null,null,null,null
2002-01-24,null,null,null,null,null,null
2002-01-25,0.107260,0.107260,0.107260,0.107260,0.054196,517442
2002-01-28,null,null,null,null,null,null
2002-01-29,null,null,null,null,null,null
2002-01-30,null,null,null,null,null,null
2002-01-31,null,null,null,null,null,null
2002-02-01,null,null,null,null,null,null
2002-02-04,null,null,null,null,null,null
2002-02-05,null,null,null,null,null,null
2002-02-06,null,null,null,null,null,null
2002-02-07,null,null,null,null,null,null
2002-02-08,null,null,null,null,null,null
2002-02-11,null,null,null,null,null,null
2002-02-12,null,null,null,null,null,null
2002-02-13,null,null,null,null,null,null
2002-02-14,null,null,null,null,null,null
2002-02-15,0.072470,0.072470,0.072470,0.072470,0.036617,206977
2002-02-18,null,null,null,null,null,null
2002-02-19,0.067640,0.067640,0.067640,0.067640,0.034177,206977
2002-02-20,0.067640,0.067640,0.063780,0.063780,0.032226,0
2002-02-21,null,null,null,null,null,null
2002-02-22,0.063780,0.066670,0.062810,0.063780,0.032226,1966280
2002-02-25,0.062810,0.062810,0.062810,0.062810,0.031736,827907
2002-02-26,0.060880,0.060880,0.060880,0.060880,0.030761,620930
2002-02-27,0.059910,0.059910,0.059910,0.059910,0.030271,206977
2002-02-28,0.059910,0.059910,0.059910,0.059910,0.030271,206977
2002-03-01,0.060880,0.060880,0.060880,0.060880,0.030761,620930
2002-03-04,0.060880,0.062810,0.060880,0.062810,0.031736,5277908
2002-03-05,0.063780,0.067640,0.063780,0.067640,0.034177,2214652
2002-03-06,0.063780,0.096630,0.063780,0.075370,0.038083,15016167
2002-03-07,0.077300,0.081170,0.076340,0.077300,0.039058,4367210
2002-03-08,0.082130,0.082130,0.076340,0.076340,0.038573,4926048
2002-03-11,0.079240,0.079240,0.073440,0.073440,0.037107,2535466
2002-03-12,0.073440,0.075370,0.071510,0.075370,0.038083,1293605
2002-03-13,0.076340,0.076340,0.072470,0.075370,0.038083,2690698
2002-03-14,0.077300,0.082130,0.077300,0.081170,0.041013,6768141
2002-03-15,0.081170,0.086000,0.080200,0.080200,0.040523,6261048
2002-03-18,0.081170,0.083100,0.077300,0.077300,0.039058,7658142
2002-03-19,0.078270,0.078270,0.075370,0.075370,0.038083,983140
2002-03-20,0.077300,0.077300,0.077300,0.077300,0.039058,1966280
2002-03-21,0.075370,0.076340,0.074400,0.076340,0.038573,2069768
2002-03-22,0.077300,0.077300,0.076340,0.076340,0.038573,1862791
2002-03-25,0.077300,0.079240,0.076340,0.079240,0.040038,1759303
2002-03-26,0.079240,0.079240,0.078270,0.078270,0.039548,3001164
2002-03-27,0.077300,0.077300,0.077300,0.077300,0.039058,103488
2002-03-28,0.077300,0.077300,0.076340,0.076340,0.038573,1676512
2002-03-29,null,null,null,null,null,null
