Date,Open,High,Low,Close,Adj Close,Volume
2018-03-14,2.750000,4.050000,2.650000,3.980000,3.743084,369455418
2018-03-15,4.370000,7.900000,4.300000,5.710000,5.370103,326626000
2018-03-16,5.830000,5.920000,4.000000,4.010000,3.771298,91215556
2018-03-19,3.850000,3.970000,3.150000,3.340000,3.141181,68161264
2018-03-20,3.100000,4.210000,3.050000,3.470000,3.263443,74295500
2018-03-21,3.660000,3.900000,3.440000,3.580000,3.366895,20624000
2018-03-22,3.630000,3.670000,3.380000,3.420000,3.216419,7120000
2018-03-23,3.280000,3.400000,2.810000,3.300000,3.103562,12351000
2018-03-26,3.210000,3.530000,3.210000,3.400000,3.197609,6164000
2018-03-27,3.500000,3.500000,3.220000,3.220000,3.028324,4661000
2018-03-28,3.200000,3.290000,3.000000,3.120000,2.934277,6816000
2018-03-29,3.140000,3.150000,2.940000,2.970000,2.793206,5956000
2018-04-03,2.960000,2.970000,2.510000,2.710000,2.548683,5511000
2018-04-04,2.690000,2.690000,2.450000,2.500000,2.351183,5060000
2018-04-06,2.510000,2.890000,2.510000,2.620000,2.464040,7412000
2018-04-09,2.640000,2.750000,2.510000,2.550000,2.398207,1821500
2018-04-10,2.550000,2.550000,2.460000,2.500000,2.351183,2972000
2018-04-11,2.510000,2.540000,2.360000,2.360000,2.219517,2296000
2018-04-12,2.380000,2.380000,2.120000,2.190000,2.059637,5556000
2018-04-13,2.180000,2.180000,2.060000,2.080000,1.956185,5748000
2018-04-16,2.080000,2.080000,1.850000,1.910000,1.796304,5408000
2018-04-17,1.900000,2.300000,1.900000,2.090000,1.965589,16616000
2018-04-18,2.180000,2.440000,2.140000,2.230000,2.097255,12100000
2018-04-19,2.230000,2.740000,2.220000,2.640000,2.482850,31904000
2018-04-20,2.600000,2.600000,2.300000,2.370000,2.228922,7580000
2018-04-23,2.330000,2.570000,2.330000,2.390000,2.247731,2774000
2018-04-24,2.420000,2.500000,2.290000,2.330000,2.191303,3682000
2018-04-25,2.250000,2.320000,2.190000,2.210000,2.078446,2904000
2018-04-26,2.220000,2.270000,2.100000,2.150000,2.022018,1800000
2018-04-27,2.220000,2.220000,2.150000,2.150000,2.022018,846000
2018-04-30,2.150000,2.190000,2.070000,2.100000,1.974994,1144000
2018-05-02,2.070000,2.180000,2.070000,2.110000,1.984399,708000
2018-05-03,2.080000,2.110000,2.070000,2.100000,1.974994,944000
2018-05-04,2.050000,2.240000,2.000000,2.150000,2.022018,2636000
2018-05-07,2.120000,2.200000,2.100000,2.100000,1.974994,744000
